timestamp,common_name,confidence
12-21-2025 13:05:46,Blue Jay,0.109
12-21-2025 13:12:05,House Finch,0.111
12-21-2025 13:14:29,Common Raven,0.182
12-21-2025 13:16:20,Gadwall,0.196
12-21-2025 13:17:11,House Finch,0.221
12-21-2025 13:17:17,House Finch,0.101
12-21-2025 13:17:20,House Finch,0.399
12-21-2025 13:17:23,House Finch,0.277
12-21-2025 13:17:26,House Finch,0.77
12-21-2025 13:18:20,House Finch,0.305
12-21-2025 13:18:44,House Finch,0.57
12-21-2025 13:18:47,House Finch,0.144
12-21-2025 13:18:50,House Finch,0.318
12-21-2025 13:18:53,House Finch,0.823
12-21-2025 13:18:56,House Finch,0.381
12-21-2025 13:18:59,House Finch,0.857
12-21-2025 13:19:02,House Finch,0.153
12-21-2025 13:19:44,House Finch,0.112
12-21-2025 13:19:50,House Finch,0.346
12-21-2025 13:20:23,Northern Mockingbird,0.365
12-21-2025 13:20:38,American Robin,0.112
12-21-2025 13:20:59,American Robin,0.167
12-21-2025 13:21:02,American Robin,0.172
12-21-2025 13:21:14,American Robin,0.631
12-21-2025 13:21:17,American Robin,0.899
12-21-2025 13:21:20,American Robin,0.55
12-21-2025 13:21:23,American Robin,0.543
12-21-2025 13:23:05,Gadwall,0.111
12-21-2025 13:41:32,Black-capped Chickadee,0.113
12-21-2025 13:41:35,Black-capped Chickadee,0.411
12-21-2025 13:41:41,Black-capped Chickadee,0.167
12-21-2025 13:41:44,White-breasted Nuthatch,0.4
12-21-2025 13:41:47,Red-breasted Nuthatch,0.172
12-21-2025 13:41:47,White-breasted Nuthatch,0.165
12-21-2025 13:41:53,Black-capped Chickadee,0.396
12-21-2025 13:48:26,Cooper's Hawk,0.912
12-21-2025 13:48:29,Cooper's Hawk,0.769
12-21-2025 13:48:29,Northern Flicker,0.386
12-21-2025 13:48:29,White-breasted Nuthatch,0.119
12-21-2025 13:57:14,Rock Pigeon,0.103
12-21-2025 14:12:51,House Finch,0.248
12-21-2025 14:18:00,Black-capped Chickadee,0.287
12-21-2025 14:18:39,Black-capped Chickadee,0.809
12-21-2025 14:18:51,House Finch,0.306
12-21-2025 14:19:21,Black-capped Chickadee,0.253
12-21-2025 14:19:24,Black-capped Chickadee,0.208
12-21-2025 14:19:48,Red-breasted Nuthatch,0.11
12-21-2025 14:20:03,Rock Pigeon,0.216
12-21-2025 14:20:42,Black-capped Chickadee,0.424
12-21-2025 14:20:54,White-breasted Nuthatch,0.295
12-21-2025 14:20:57,White-breasted Nuthatch,0.758
12-21-2025 14:21:09,White-breasted Nuthatch,0.236
12-21-2025 14:21:12,White-breasted Nuthatch,0.654
12-21-2025 14:21:15,White-breasted Nuthatch,0.464
12-21-2025 14:21:21,Black-capped Chickadee,0.752
12-21-2025 14:21:24,Black-capped Chickadee,0.194
12-21-2025 14:21:48,Black-capped Chickadee,0.114
12-21-2025 14:22:03,White-breasted Nuthatch,0.53
12-21-2025 14:22:21,White-breasted Nuthatch,0.876
12-21-2025 14:22:24,White-breasted Nuthatch,0.206
12-21-2025 14:23:57,Black-capped Chickadee,0.118
12-21-2025 14:24:45,Black-capped Chickadee,0.425
12-21-2025 14:24:45,Carolina Chickadee,0.107
12-21-2025 14:24:54,Black-capped Chickadee,0.22
12-21-2025 14:25:42,Black-capped Chickadee,0.272
12-21-2025 14:25:46,Black-capped Chickadee,0.293
12-21-2025 14:27:58,Black-capped Chickadee,0.443
12-21-2025 14:28:06,Black-capped Chickadee,0.363
12-21-2025 14:34:43,Black-capped Chickadee,0.227
12-21-2025 14:35:34,Tufted Titmouse,0.656
12-21-2025 14:35:34,Black-capped Chickadee,0.303
12-21-2025 14:39:29,Tufted Titmouse,0.23
12-21-2025 14:39:29,Black-capped Chickadee,0.14
12-21-2025 14:44:40,House Finch,0.119
12-21-2025 14:46:52,Black-capped Chickadee,0.122
12-21-2025 14:51:49,House Finch,0.108
12-21-2025 14:52:04,House Finch,0.174
12-21-2025 14:53:07,Black-capped Chickadee,0.278
12-21-2025 14:53:07,Tufted Titmouse,0.219
12-21-2025 14:56:40,Red-breasted Nuthatch,0.198
12-21-2025 14:57:13,Black-capped Chickadee,0.19
12-21-2025 15:14:30,White-breasted Nuthatch,0.527
12-21-2025 15:14:33,White-breasted Nuthatch,0.17
12-21-2025 15:14:36,White-breasted Nuthatch,0.759
12-21-2025 15:15:03,White-breasted Nuthatch,0.571
12-21-2025 15:15:27,White-breasted Nuthatch,0.311
12-21-2025 15:21:03,Tufted Titmouse,0.306
12-21-2025 15:21:09,Tufted Titmouse,0.364
12-21-2025 15:21:12,Tufted Titmouse,0.112
12-21-2025 15:21:24,Tufted Titmouse,0.435
12-21-2025 15:21:24,Black-capped Chickadee,0.327
12-21-2025 15:33:13,Tufted Titmouse,0.586
12-21-2025 15:33:22,Tufted Titmouse,0.589
12-21-2025 15:33:25,Tufted Titmouse,0.54
12-21-2025 15:35:07,Tufted Titmouse,0.678
12-21-2025 15:35:10,Tufted Titmouse,0.184
12-21-2025 15:35:31,American Tree Sparrow,0.118
12-21-2025 15:35:34,Carolina Chickadee,0.112
12-21-2025 15:35:46,American Tree Sparrow,0.123
12-21-2025 15:35:55,American Tree Sparrow,0.259
12-21-2025 15:36:25,American Tree Sparrow,0.183
12-21-2025 15:36:31,American Tree Sparrow,0.344
12-21-2025 15:37:04,Carolina Chickadee,0.134
12-21-2025 15:37:04,Tufted Titmouse,0.126
12-21-2025 15:37:55,Tufted Titmouse,0.483
12-21-2025 15:37:55,Black-capped Chickadee,0.125
12-21-2025 15:39:34,Carolina Chickadee,0.123
12-21-2025 15:40:07,Tufted Titmouse,0.591
12-21-2025 15:40:34,Black-capped Chickadee,0.271
12-21-2025 15:40:34,Tufted Titmouse,0.126
12-21-2025 15:41:16,American Tree Sparrow,0.184
12-21-2025 15:41:46,Canada Goose,0.145
12-21-2025 15:42:25,Tufted Titmouse,0.598
12-21-2025 15:42:25,Carolina Chickadee,0.124
12-21-2025 15:43:16,Tufted Titmouse,0.461
12-21-2025 15:47:58,Tufted Titmouse,0.421
12-21-2025 15:49:16,Canada Goose,0.17
12-21-2025 15:49:19,Canada Goose,0.845
12-21-2025 15:49:22,Canada Goose,0.755
12-21-2025 15:49:25,Canada Goose,0.81
12-21-2025 15:49:28,Canada Goose,0.829
12-21-2025 15:49:34,Canada Goose,0.663
12-21-2025 15:49:40,Canada Goose,0.147
